Company Name,City,State,Website,Instagram,Contact Name,Contact Title,Company Contact,Company Founded,Company Revived,Country,Company Description ,Making in America Description
Rpaige Watches,Honolulu,HI,https://www.rpaigewatch.com/,https://www.instagram.com/rpaigewatchco/,Richard Paige,Founder,,2012,,US,Coming soon!,Also coming soon!
Peter Doble,Twin Falls,ID,,https://www.instagram.com/doblehpeter/,Peter Doble,Founder,,,,US,Coming soon!,Also coming soon!
Barrelhand Inc.,San Francisco,CA,https://www.barrelhand.com/,https://www.instagram.com/barrelhand/,Karel Bachand,Founder,contact@barrelhand.com,2014,,US,Coming soon!,Also coming soon!
Havid Nagan,Los Angeles,CA,https://www.havidnagan.com/,https://www.instagram.com/havidnagan/,Aren Bazerkanian,Founder,info@havidnagan.com,2022,,US,Coming soon!,Also coming soon!
Artur Akmaev,Santa Monica,CA,https://www.arturakmaev.com/,https://www.instagram.com/arturakmaev_watches/,Artur Akmaev,Founder,artur.movement88@gmail.com,,,US,Coming soon!,Also coming soon!
Massena LAB,New York,NY,http://massenalab.com/,https://www.instagram.com/massenalab/,William Massena,Founder,info@massenalab.com,2018,,US,Coming soon!,Also coming soon!
Lindow Rose Enginer,Columbus,OH,https://lindowroseengine.com/,https://www.instagram.com/david.lindow/,David Lindow,Founder,roseengine@columbusmachine.com,,,US,Coming soon!,Also coming soon!
Icon 4x4,Los Angeles,CA,https://shop.icon4x4.com/,https://www.instagram.com/icon4x4/,Jonathan Ward,Founder,,,,US,Coming soon!,Also coming soon!
Mark Carson Watches,Honolulu,HI,https://markcarson.com/,https://www.instagram.com/markcarsonhawaii/,Mark Carson,Founder,Sales@MarkCarson.com,2009,,US,Coming soon!,Also coming soon!
Lum-Tec,Mentor,OH,https://lum-tec.com/,https://www.instagram.com/lumtecwatches/,,,chris@lum-tec.com,2008,,US,Coming soon!,Also coming soon!
Sel,Tucson,AZ,https://selinstrument.com/,https://www.instagram.com/selinstrument/,Andrew McLean,Founder,info@selinstrument.com,2013,,US,Coming soon!,Also coming soon!
Hesili,New York,NY,https://hesiliny.com/,https://www.instagram.com/hesilinewyork/,,,hesili@hesiliny.com,2018,,US,Coming soon!,Also coming soon!
Royter,New York,NY,https://www.royterwatches.com/,https://www.instagram.com/royterwatches/,Dan Royter,Founder,info@royterwatches.com,2017,,US,Coming soon!,Also coming soon!
Thumm and Co.,Warren,OH,https://www.thummco.com/,https://www.instagram.com/thummco/,,,contact@thummco.com,2019,,US,Coming soon!,Also coming soon!
Alterum,Dunedin,FL,https://www.alterumwatchco.com/,https://www.instagram.com/alterumwatchcompany/,Justin Walters,Founder,jwalters@alterumwatchco.com,2016,,US,Coming soon!,Also coming soon!
Abingdon,Las Vegas,NV,https://abingdonco.com/,https://www.instagram.com/theabingdonco/,Abingdon Mullin,Founder,info@theabingdonco.com,2006,,US,Coming soon!,Also coming soon!
ArmourLite Watch Company,North Miami Beach,FL,https://www.armourlite.com/,https://www.instagram.com/armourlite/,Ashley Diener,Founder,customerservice@armourlite.com,2007,,US,Coming soon!,Also coming soon!
Benrus,New York,NY,https://benrus.com/en-us/,https://www.instagram.com/benrus/,,,support@benrus.com,1921,,US,Coming soon!,Also coming soon!
Bertucci Watches,Gurnee,IL,https://www.bertucciwatches.com/,https://www.instagram.com/bertucci_field_watches/,,,askenzo@mhbertucci.com,2003,,US,Coming soon!,Also coming soon!
Brillier,Mesa,AZ,https://www.brillier.com/,https://www.instagram.com/brillierwatches/,,,info@brillier.com,2009,,US,Coming soon!,Also coming soon!
Dan Spitz,Delray Beach,FL,https://danspitz.com/,https://www.instagram.com/danspitzofficial/,Daniel Spitz,"Founder, Watchmaker",daniel@danspitz.com,1995,,US,Coming soon!,Also coming soon!
David E Walter,Santa Barbara,CA,https://davidwalter.com/,https://www.instagram.com/davide.walter/,David E Walter,"Founder, Watchmaker",david@davidwalter.net,2002,,US,Coming soon!,Also coming soon!
Devon,Grand Rapids,MI,https://www.devonworks.com/,https://www.instagram.com/devon_works/,Scott Devon,Founder,info@devonworks.com,2008,,US,Coming soon!,Also coming soon!
Hager Watches,Hagerstown,MD,https://www.hagerwatches.com/,https://www.instagram.com/hagerwatches/,,,Hager.Watches@gmail.com,2009,,US,Coming soon!,Also coming soon!
Hampden Watch,Chicago,IL,https://hampdenwatch.com/,https://www.instagram.com/hampdenwatch/,,,service@hampdenwatch.com,1922,,US,Coming soon!,Also coming soon!
JN Shapiro,Los Angeles,CA,https://www.jnshapirowatches.com/,https://www.instagram.com/jnshapiro_watches/,,,info@jnshapirowatches.com,2018,,US,Coming soon!,Also coming soon!
Keaton B. Myrick,Sisters,OR,https://www.keatonmyrick.com/,https://www.instagram.com/horological/,,,keaton@kmindependent.com,2012,,US,Coming soon!,Also coming soon!
Kobold,Pittsburgh,PA,https://koboldwatch.com/,https://www.instagram.com/koboldwatch,Michael Kobold,Founder,mkobold@koboldwatch.com,1998,,US,Coming soon!,Also coming soon!
Resco Instruments,San Clemente,CA,https://rescoinstruments.com/,https://www.instagram.com/resco_watches,,,info@rescoinstruments.com,2009,,US,Coming soon!,Also coming soon!
RGM,Lancaster,PA,https://www.rgmwatches.com/,https://www.instagram.com/rgmwatches/,Roland Murphy,Founder,sales@rgmwatches.com,1992,,US,Coming soon!,Also coming soon!
Rockwell Time Inc,Woods Cross,UT,https://rockwelltime.com/,https://www.instagram.com/rockwellwatches/,,,info@rockwelltime.com,2007,,US,Coming soon!,Also coming soon!
Swiss Watch Company,Alamo,NV,https://swcusa.com/,https://www.instagram.com/swcusa,Stephen Roemer,Founder & CEO,info@swcusa.com,1996,,US,Coming soon!,Also coming soon!
Towson,Timonium,MD,https://www.towsonwatchcompany.com/,https://www.instagram.com/towsonwatchco/,,,info@towsonwatchco.com,1998,,US,Coming soon!,Also coming soon!
Vortic,Fort Collins,CO,https://vorticwatches.com/,https://www.instagram.com/vorticwatches/,Tyler Wolfe,Founder,info@vorticwatches.com,2013,,US,Coming soon!,Also coming soon!
Waldan,New York,NY,https://waldanwatches.com/,https://www.instagram.com/waldanwatches/,,,service@waldanwatches.com,1979,,US,Coming soon!,Also coming soon!
Weiss,Nashville,TN,https://weisswatchcompany.com/,https://www.instagram.com/weisswatchcompany/,Cameron Weiss,Founder,info@weisswatchcompany.com,2013,,US,Coming soon!,Also coming soon!
Wiegand,Mentor,OH,https://www.wiegandwatches.net/,None,,,Chris@lum-tec.com,2007,,US,Coming soon!,Also coming soon!
Wilbur,New York,NY,https://wilburco.com/,https://www.instagram.com/wilburwatchco/,Jason Wilbur,Founder,concierge@wilburwatchco.com,2007,,US,Coming soon!,Also coming soon!
Astor + Banks,Chicago,IL,https://astorandbanks.com/,https://www.instagram.com/astorandbanks/,,,help@astorandbanks.com,2012,,US,Coming soon!,Also coming soon!
Autodromo,New York,NY,https://autodromo.com/,https://www.instagram.com/autodromo/,Bradley Price,Founder,info@autodromo.com,2011,,US,Coming soon!,Also coming soon!
Bespoke Watch Projects,Oakland,CA,https://www.bespokewatchprojects.com/,https://www.instagram.com/bespokewatchprojects/,,,time@bespokewatchprojects.com,2014,,US,Coming soon!,Also coming soon!
